URL;Titre;Categorie;Description;ImageFilename
https://www.academiedugout.fr/ingredients/cidre_274;Cidre;boissons;Le cidre est une boisson alcoolisée pétillante à la robe dorée. Il est généralement issu de la fermentation du moût de pommes à cidre, particulièrement riches en tanins. On produit également du cidre de poire ou du cidre aromatisé. Le cidre est originaire de Normandie, première région productrice de pommes. Il est également produit dans d'autres régions de France et du monde, comme au Royaume-Uni.;fotolia_37665165_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/cognac_275;Cognac;boissons;Le Cognac est un alcool fort obtenu par double-distillation de vins blancs spécifiques de la région Poitou-Charentes. Il est vieilli dans des fûts de chêne pendant 30 mois minimum et doit afficher un titre alcoolique d'au moins 40° pour pouvoir être commercialisé. Le Pineau des Charentes ainsi que le Grand Marnier sont des dérivés du Cognac.;fotolia_47350462_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/gin_276;Gin;boissons;Le gin est une boisson alcoolisée proche du genièvre, également fabriqué avec des baies de genévrier. La production de gin remonte à la fin du XVIIème siècle en Ecosse puis s’étend à l’Angleterre avant se s’internationaliser. Cet alcool sec au goût particulier entre la composition de plusieurs cocktails. Et contrairement à ce que voudrait la rumeur, le gin ne rend pas fou tant qu’on le consomme avec modération.;fotolia_47167257_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/grand-marnier_277;Grand Marnier®;boissons;Créée en 1880 par Louis-Alexandre Lapostolle, Grand Marnier® est la marque sous laquelle est commercialisée cette liqueur élaborée à partir des meilleurs crus de cognac (eau-de-vie de raisin) et d’essence d’oranges amères(citrus bigaradia). Ce spiritueux couleur ambre dont la recette est jalousement gardée, jouit d’une réputation dépassant depuis longtemps les frontières hexagonales. Ingrédient de base de nombreux cocktails, la liqueur Grand Marnier entre surtout dans la composition de plats aussi bien populaires que gastronomiques.;grand-marnier-copy.jpg
https://www.academiedugout.fr/ingredients/madere_278;Madère;boissons;Le Madère est un vin liquoreux originaire du Portugal produit au cœur de l'archipel de Madère. A l'origine, ce vin était enrichi en alcool par mutage (technique permettant de préserver une partie du sucre dans le vin) afin de supporter de longs voyages dans les soutes chaudes et humides des navires. Conditions de transports qui ont accéléré son processus de vinification. Un hasard qui poussèrent les Madériens à mettre au point dès le XVIème siècle une technique de maturation permettant d'obtenir ce vin de liqueur. Le vin de Madère, qui bénéficie d'une AOP, est apprécié tel quel à l'apéritif ou en cuisine pour parfumer les sauces.;fotolia_36443483_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/noilly-prat_279;Noilly-Prat;boissons;Le Noilly-Prat Original Dry est un vermouth français, c’est-à-dire un apéritif à base de vin blanc et d’un mélange secret de plantes aromatiques (camomille, coriandre, écorces d’oranges amères etnoix de muscadeentre autres). Il tire à environ 17% d’alcool. S’il fût très à la mode au XIXe siècle et dans la première moitié du XXe siècle, il est ensuite tombé en désuétude. Aujourd’hui, le Noilly-Prat sert en cuisine pour confectionner des sauces, mais se consomme également en apéritif, tout comme les autres vermouths de la marque.;np_dry_1-copy.jpg
https://www.academiedugout.fr/ingredients/the-vert_280;Thé vert;boissons;Consommé tel quel en Asie comme boisson chaude ou avec de la menthe au Maghreb, mais aussi cuisiné, le thé vert résulte d’une oxydation (ou fermentation) très faible des feuilles du théier. Les feuilles sont froissées, roulées et chauffées, ce qui permet d’éviter leur oxydation, avant d’être séchées. En plus d’avoir un goût marqué, le thé vert possède des vertus thérapeutiques reconnues.;fotolia_44050523_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/tisane_281;Tisane;boissons;Obtenue par infusion, décoction ou macération, la tisane est une boisson aux plantes généralement consommée chaude. Selon les recettes, on utilise les fleurs, les feuilles, les tiges ou les racines de végétaux, souvent choisis en fonction de propriétés bienfaisantes : digestives, dépuratives ou relaxantes. Il est par exemple fréquent de boire, après le repas du soir, une infusion de tilleul et de camomille. Mais les combinaisons sont infinies et les usages multiples.;fotolia_46049875_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/vodka_282;Vodka;boissons;Venue de l’est de l’Europe, la vodka est une boisson alcoolisée très populaire. Fabriquée à base de pomme de terre ou de céréales (blé, orge, maïs) distillées, cette eau-de-vie est incolore et titre de 40 à 55% de volume d’alcool. On la retrouve parfois parfumée à l’aide d’herbes ou de baies. Ce qui différencie les vodkas ? Leur lieu de fabrication, les ingrédients utilisés, la méthode de distillation et la filtration. A base de céréales, elles proviennent souvent de Russie, d’Ukraine ou de Biélorussie, tandis que celles à base de pommes de terre viennent souvent de Pologne ou d’Allemagne.;fotolia_48370631_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/whisky_283;Whisky;boissons;Il conviendrait mieux de parler de whiskies au pluriel : ces eaux-de-vie, obtenues par distillation de céréales, sont originaires d’Irlande ou d’Ecosse (les deux patries se disputent la paternité). Désormais parmi les plus réputés, il faut également compter avec les whiskies américains et japonais. Il en existe plusieurs types : le blend (ou blended whisky) qui est une association de malt et de grain, le pure malt qui, comme son nom l’indique, est un assemblage de malt, et le single malt dont le whisky vient d’une seule distillerie.;fotolia_49987734_subscription_xl-copy.jpg
