URL;Titre;Description;ImageFilename
https://www.academiedugout.fr/ingredients/chapelure_414;Chapelure;La chapelure désigne la poudre plus ou moins grossière obtenue par broyage du pain dur, de biscottes ou du pain de mie. Elle est parfois qualifiée de « panure », en référence à son utilisation première en cuisine. Lorsqu'elle est composée de flocons de pain croustillants, la chapelure prend le nom de « panko », panure d'origine japonaise.;fotolia_43211232_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/feuille-de-brick_942;Feuille de brick;La feuille de brick est une très fine feuille de pâte préparée avec un mélange de farine et desemoule de blé, d’eau tiède et de sel. Son goût est neutre et sa texture, une fois cuite, croustillante. C’est une spécialité de la gastronomie du Mahgreb qui est généralement servie farcie. Il ne faut pas la confondre avec les feuilles de pâte filo qui, elles, sont réalisés uniquement avec de la farine. Ces dernières, d’origine grecque, sont par ailleurs plus fragiles que les feuilles de brick.;feuilles-de-brick-malso-gjbczgfs.jpg
https://www.academiedugout.fr/ingredients/flocons-davoine_416;Flocons d’avoine;L’avoine est une plante bisannuelle cultivée principalement en Europe et en Amérique. Utilisée dans l’alimentation humaine et animale, l’avoine fait partie des céréales à pailles. Les flocons d’avoine sont transformés après la récolte des grains. Il sont nettoyés, débarrassés de tout corps étranger avant d’être cuits à la vapeur et écrasés par une floconneuse (deux cylindres). Ils sont alors séchés avant d’être conditionnés. Il est possible d’en fabriquer soi-même (en troquant l’énorme floconneuse contre un rouleau à pâtisserie), mais le résultat est toujours moins fin que les flocons d’avoine industriels.;fotolia_63534100_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/sesame_1479;Graines de sésame;Cultivées depuis des millénaires, les graines de sésame font partie intégrantes de cultures culinaires de civilisations allant du Proche-Orient à l’Extrême-Orient. Décortiquées ou non, noires ou blanches, broyées ou entières, ces graines de sésame, qui apportent un léger goût de noisette et du croquant aux préparations, est un aliment bénéfique pour la santé. Elles sont une excellente source en nutriments et en oligo-éléments.;fotolia_43304584_subscription_xl.jpg
https://www.academiedugout.fr/ingredients/graine-de-tournesol_435;Graines de tournesol;Tout comme les graines de lin ou les graines de courge, les graines de tournesol sont des oléagineuses qui, en complément de fruits et légumes, apportent des nutriments aussi essentiels qu’indispensables à la santé. A utiliser avec parcimonie car très caloriques, les graines de tournesol apportent une petite touche croquante aux préparations sucrées comme salées.;pipas-copy.jpg
https://www.academiedugout.fr/ingredients/lumaconi_418;Lumaconi;Les lumaconis sont des grosses pâtes coudées d'origine italienne. Leur nom signifie « escargot », en référence à leur forme rappelant la coquille de ce petit gastéropode. Les lumaconis sont traditionnellement réalisées avec de lasemoule de blédur.;fotolia_48653217_subscription_xxl-copy.jpg
https://www.academiedugout.fr/ingredients/semoule-de-mais_448;Semoule de maïs;La semoule de maïs est obtenue après mouture de grains de maïs décortiqués et dégermés que l’on a humidifiés puis séchés. Aussi appelée «polenta», cette semoule rentre aussi bien dans la composition de mets salés que sucrés et étonne grâce à la diversité de ses textures : elle peut être crémeuse, ferme ou franchement dure. Une particularité qui lui permet de s’accommoder de multiples façons.;polenta-copy.jpg
https://www.academiedugout.fr/ingredients/marron_350;Marron;On appelle « marrons » les variétés greffées de châtaigner ne contenant qu'une seule grosse amande. Cette grosse châtaigne ne doit pas être confondue avec le marron non comestible, issu du marronnier, et dont la coque est hérissée de gros picots. Les principales régions productrices de marrons sont le Rhône-Alpes, l'Aquitaine et Languedoc-Roussillon. La châtaigne d'Ardèche bénéficie depuis 2006 d'une appellation d'origine contrôlée (AOC), englobant 65 variétés traditionnelles.;fotolia_57367067_subscription_xl-copy.jpg
https://www.academiedugout.fr/ingredients/noisette_421;Noisette;Petit fruit à coque de couleur brune, la noisette est issue du noisetier. Comme l’amande ou encore la noix, la noisette est un oléagineux, donc un aliment riche en matière grasse. D’ailleurs, de la noisette, que l’on peut déguster entière ou concassée, salée ou nature, on extrait une huile au goût très parfumé.;fotolia_62309338_subscription_l-copy.jpg
https://www.academiedugout.fr/ingredients/noix_873;Noix;La noix est le fruit du noyer, un très grand arbre dont il existe plusieurs variétés. Elle est formée d’une coque dure recouverte d’une enveloppe verte appelée l’écale ou le brou. À l’intérieur de la coque, la noix est constituée de deux cerneaux en forme d’hémisphères cérébraux recouverts d’une mince pellicule jaune.;noix_000.jpg
https://www.academiedugout.fr/ingredients/pignon-de-pin_1029;Pignon de pin;Le pignon est le fruit du pin parasol ou (pin pignon) qui pousse dans les régions méditerranéennes. Petit et de forme oblongue, il est d'une jolie couleur ivoire. Le pin parasol fournit des cônes, les pommes de pin ou pignes, formés de grosses écailles dures. Entre celles-ci sont logés les pignons.D'autres pins, en Amérique du Nord, en Asie et en Amérique du sud produisent aussi des pignons.;pignon-de-pin_000.jpg
